ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2055,0,BR,Brasil,215362623,-0.327395249167972,82.0490399392228,25.5383709440267,1.45954316690038,24.1139610267724,59.3422870352198,83.4562480619923,246.09099670243,45.5304367183529,47.2039335984906
2056,0,BR,Brasil,214603069,-0.352686083322828,82.1877855958931,25.6130754155578,1.46160437080089,24.1032892633883,60.5923906141063,84.6956798774946,251.386397731795,45.7652662273902,47.4860320634508
2057,0,BR,Brasil,213793298,-0.377334305503341,82.3243181059357,25.6864689350061,1.46371982210663,24.0926193014115,61.84908611179,85.9417054132015,256.713831476873,45.9952121464537,47.7615054689543
2058,0,BR,Brasil,212934075,-0.401894263308478,82.4586484774281,25.7585746325302,1.46589560458155,24.0821032335254,63.1153902019403,87.1974934354657,262.084210792999,46.2202499388602,48.0275197298535
2059,0,BR,Brasil,212025649,-0.426623122673064,82.5908342800889,25.8294133038444,1.46813536677373,24.0703509315872,64.387648968471,88.4579999000582,267.497757517012,46.4404601115028,48.2957761158887
2060,0,BR,Brasil,211069036,-0.451177961021121,82.7208909909906,25.8990192283876,1.47043043190104,24.0533098114354,65.6338141961784,89.6871240076138,272.868119650523,46.6556284361862,48.5651987186685
2061,0,BR,Brasil,210066029,-0.475203288463399,82.8489030977695,25.9674013519934,1.47278365277046,24.0267633835223,66.8098681600735,90.8366315435958,278.064369693224,46.865267410753,48.8339166358721
2062,0,BR,Brasil,209018787,-0.498529916991008,82.9748504025069,26.0345897778374,1.47518119821577,23.993066417734,67.9167176849849,91.9097841027189,283.068101852899,47.0688072216207,49.0985162661959
2063,0,BR,Brasil,207928784,-0.52148565956418,83.0987470096488,26.1006351791635,1.47761513389302,23.9551369128798,68.9649593987249,92.9200963116047,287.892152942131,47.265828712777,49.3677066199214
2064,0,BR,Brasil,206797115,-0.544257980174601,83.2206351436617,26.1655472534195,1.48009264319161,23.9165720967666,69.9708949100267,93.8874670067933,292.562389906564,47.4560787997453,49.6429073805136
2065,0,BR,Brasil,205625259,-0.56666941412602,83.3405063072604,26.2293158751846,1.48260776281623,23.8809504715322,70.9471532288678,94.8281037004,297.086806965417,47.6392070781538,49.9214668872512
2066,0,BR,Brasil,204415091,-0.588530808853593,83.4583725750924,26.2920726479501,1.48515623485603,23.8521164190984,71.908445177639,95.7605615967374,301.476162174279,47.814760109859,50.1840823942686
2067,0,BR,Brasil,203168549,-0.609809184782739,83.5742329623147,26.3537058893028,1.4877331169927,23.8194670354945,72.7688388715246,96.5883059070191,305.501541084392,47.9823373843163,50.4322263429841
2068,0,BR,Brasil,201887385,-0.630591696552407,83.688137429185,26.4142428775652,1.49033500269275,23.7951098729651,73.6040055184078,97.3991153913729,309.324083441335,48.1415969303877,50.6786256346592
2069,0,BR,Brasil,200573375,-0.650862856042245,83.8001774751942,26.4737423485413,1.49295999556136,23.7830273239935,74.4293645556195,98.212391879613,312.951600070406,48.2923266360752,50.9281893136008
2070,0,BR,Brasil,199228708,-0.670411513990832,83.9104277970562,26.5322793289245,1.49560525013469,23.7778562216454,75.1957377847992,98.9735940064446,316.242713741145,48.4345007045872,51.1686854683298
2000,1,NO,Norte,13340960,,70.0164799236414,19.8470007073443,3.15033327745023,66.6293275824164,10.1620705315115,76.7913981139279,15.2516480358317,24.0776673492762,20.4425967336112
2001,1,NO,Norte,13637976,2.22634652978497,70.259598312072,19.9632128713553,2.98137870562611,65.057181267238,10.1555333552253,75.2127146224633,15.6101650231495,24.2821912870356,20.7492594898176
2002,1,NO,Norte,13930752,2.1467701658956,70.6111583516867,20.0648405696875,2.81669394430525,63.5285851794959,10.1663665925209,73.6949517720168,16.0028222945569,24.5030534604306,21.0713077191805
2003,1,NO,Norte,14220524,2.08008871308598,71.0199317534333,20.2515922141626,2.759922367794,62.0615149989976,10.1960356785298,72.2575506775275,16.4289184347087,24.7383114715041,21.4085403000246
2004,1,NO,Norte,14508485,2.0249675750345,71.4709424538198,20.4148989596484,2.61760668324829,60.6518909584775,10.2450642609024,70.8969552193799,16.8915826019608,24.9860413406362,21.7544086484339
2005,1,NO,Norte,14795552,1.97861458312154,72.1029547250192,20.6936883575067,2.60898862604702,59.277447113069,10.315057762462,69.592504875531,17.4013191607029,25.2448047899801,22.109447542923
2006,1,NO,Norte,15083626,1.94703110772751,72.6615650012693,21.0049527144836,2.55118150608019,57.9157238058019,10.4057357483963,68.3214595541982,17.9670304791284,25.5120750143235,22.4733620324169
2007,1,NO,Norte,15367681,1.88320102871815,73.0560398426072,21.1371359069671,2.45067615361372,56.4982897349975,10.5145270911323,67.0128168261298,18.6103458006432,25.7935976807431,22.8473333999594
2008,1,NO,Norte,15647620,1.82160860835152,73.266514329121,21.2188160252204,2.42730692451258,55.0659025775828,10.6422639369057,65.7081665144885,19.3264133315743,26.0831252292681,23.2283540253465
2009,1,NO,Norte,15919181,1.73547798323324,73.3747602191161,21.3074847998581,2.32593505216926,53.6368840407706,10.7956880090881,64.4325720498587,20.1273586304566,26.3812025882487,23.6139058471957
2010,1,NO,Norte,16158154,1.50116391037955,73.8865802072444,21.6563627823736,2.21626151190666,52.2079610066547,10.9998468741932,63.2078078808479,21.0692903191356,26.7034662499194,24.0134484524296
2011,1,NO,Norte,16374290,1.33762804835256,74.0806122618806,21.7241323916194,2.23212014806944,50.846172190851,11.2525443177308,62.0987165085818,22.130563290968,27.0353167068618,24.4135100683301
2012,1,NO,Norte,16591669,1.32756290501757,74.3651626161663,21.8480600285709,2.16040745546324,49.497005988024,11.5261891128602,61.0231951008841,23.2866390254978,27.3680098126355,24.8113714650362
2013,1,NO,Norte,16808083,1.30435340772528,74.6020085128677,21.9769924750137,2.15529633102921,48.1518776556019,11.8215167150338,59.9733943706356,24.5504792140924,27.7047096328594,25.2104267839425
2014,1,NO,Norte,17025334,1.29253883384559,74.8488357665238,22.0870772957023,2.1841948746027,46.906771019734,12.1426654331586,59.0494364528925,25.8868073183935,28.0335128227147,25.5985133779539
2015,1,NO,Norte,17236948,1.24293596824592,74.9584923585801,22.1217865025941,2.1620464102994,45.7790534435032,12.4931673335508,58.272220777054,27.2901390348074,28.3577883393278,25.9785114235154
2016,1,NO,Norte,17429371,1.11634031732299,75.1063319390269,22.2064516860339,2.03601035784081,44.6936486042645,12.877065726717,57.5707143309815,28.8118471614069,28.6982436715588,26.3744850170197
2017,1,NO,Norte,17606346,1.01538374505885,75.2199149814243,22.3239526645152,2.05310753960302,43.6596884094676,13.2957917038633,56.9554801133309,30.4532446021307,29.0522007235346,26.7848278998942
