ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2032,1,NO,Norte,19625458,4056911,13650326,2760134,1918221,368435,0.206716755349098,0.695541780477174,0.140640488492039,0.0977414641737278,0.018773319837937
2033,1,NO,Norte,19722458,3982650,13740252,2869226,1999556,389748,0.201934768982649,0.696680505036441,0.145480142485283,0.10138472598091,0.0197616341735903
2034,1,NO,Norte,19812493,3904855,13824906,2981560,2082732,412465,0.197090542820633,0.697787300164598,0.150488885977146,0.105122157014768,0.0208184300683412
2035,1,NO,Norte,19895607,3833432,13894021,3097963,2168154,436655,0.192677308111283,0.698346172599811,0.155710906432762,0.108976519288906,0.0219473072623519
2036,1,NO,Norte,19971690,3761861,13953687,3219318,2256142,462271,0.188359673117298,0.698673322087415,0.161194070206377,0.112967004795288,0.0231463136069106
2037,1,NO,Norte,20040651,3694057,13999620,3346049,2346974,489195,0.184328193729834,0.698561139555796,0.166963089173101,0.11711066671437,0.0244101351797404
2038,1,NO,Norte,20102400,3635468,14026543,3478127,2440389,517192,0.180847460999682,0.697754646211398,0.173020485116205,0.121397892788921,0.0257278732887615
2039,1,NO,Norte,20157022,3577394,14043152,3614805,2536476,546154,0.177476315697825,0.696687834145342,0.179332294224812,0.125835850156834,0.027094974644568
2040,1,NO,Norte,20204507,3520380,14048118,3754702,2636009,576037,0.17423736199057,0.695296252464858,0.185834873377509,0.130466385544572,0.0285103219791505
2041,1,NO,Norte,20245833,3466066,14039843,3895957,2739924,606718,0.1711989820325,0.693468280608657,0.192432536611361,0.135332737358843,0.0299675493717645
2042,1,NO,Norte,20281965,3414238,14019041,4037089,2848686,638117,0.168338620049882,0.691207237563027,0.199048218454178,0.140454142387091,0.0314622868149117
2043,1,NO,Norte,20312875,3364565,13986004,4177683,2962306,670370,0.165637065161874,0.688529024079555,0.205666750767678,0.145833910758571,0.0330022214974493
2044,1,NO,Norte,20338549,3316681,13941779,4317523,3080089,703411,0.163073629293811,0.68548542966364,0.212282744457336,0.151440941042549,0.0345851122417828
2045,1,NO,Norte,20359031,3270370,13887885,4455268,3200776,737227,0.160634855362222,0.682148624853511,0.218834973039729,0.157216519784267,0.036211301019189
2046,1,NO,Norte,20374328,3225593,13826207,4589339,3322528,771639,0.15831653441527,0.678609228240558,0.22525106104113,0.163074237344172,0.0378731018760472
2047,1,NO,Norte,20384446,3182278,13758313,4718673,3443855,806508,0.156113048154461,0.674941717817595,0.231483995199085,0.168945234027945,0.0395648721579188
2048,1,NO,Norte,20389379,3140220,13684750,4842526,3564409,841822,0.154012537605976,0.671170514805772,0.23750237807635,0.174816947588252,0.0412872800098522
2049,1,NO,Norte,20388991,3099041,13606000,4961219,3683950,877816,0.151995800086429,0.667320908621716,0.243328323603655,0.180683291291855,0.0430534301574806
2050,1,NO,Norte,20383307,3058592,13523480,5076233,3801235,914841,0.150053767035938,0.663458584026625,0.249038735471138,0.186487648937437,0.0448818731916269
2051,1,NO,Norte,20372387,3018891,13438741,5189530,3914755,953174,0.14818543354787,0.659654708110542,0.254733527298495,0.192159858341588,0.0467875462998028
2052,1,NO,Norte,20356208,2979997,13352733,5302606,4023478,993047,0.146392540300237,0.655953849557835,0.260490853699274,0.197653610141928,0.0487834964154424
2053,1,NO,Norte,20334783,2941849,13266237,5415589,4126697,1034301,0.144670784045249,0.652391372949492,0.266321455212972,0.202937843005259,0.0508636359679865
2054,1,NO,Norte,20307949,2904186,13179000,5527890,4224763,1077005,0.143007351456319,0.648957706167176,0.272203263854957,0.208034942376505,0.0530336667676288
2055,1,NO,Norte,20275622,2866863,13089715,5639434,4319044,1121750,0.141394577192256,0.645588825832322,0.278138643539518,0.213016596975422,0.0553250598181402
2056,1,NO,Norte,20237870,2829917,12996478,5749973,4411475,1169167,0.13983274919742,0.642186060094269,0.284119475023804,0.217981190708311,0.0577712476658858
2057,1,NO,Norte,20194797,2793392,12897884,5859143,4503521,1219512,0.138322360952675,0.638673614792959,0.290131314516308,0.223004024254366,0.0603874354369593
2058,1,NO,Norte,20146369,2757338,12793766,5966842,4595265,1272712,0.136865258449302,0.635040785761444,0.296174561281986,0.228093955789254,0.0631732695852042
2059,1,NO,Norte,20092594,2721687,12684737,6072608,4686170,1328226,0.135457223691476,0.631314055318094,0.302231160396711,0.233228720990431,0.0661052525124431
