ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2055,0,BR,Brasil,215362623,28307817,132111528,69662989,54943278,16204079,0.131442571629526,0.613437588007089,0.323468334614405,0.255119840363386,0.075240906589441,-0.327395249167972,82.0490399392228,25.5383709440267,1.45954316690038,24.1139610267724,59.3422870352198,83.4562480619923,246.09099670243,45.5304367183529,47.2039335984906
2056,0,BR,Brasil,214603069,28006285,130966514,70403991,55630270,16624302,0.130502723612028,0.610273257555324,0.328066095830158,0.259224018832648,0.0774653506935635,-0.352686083322828,82.1877855958931,25.6130754155578,1.46160437080089,24.1032892633883,60.5923906141063,84.6956798774946,251.386397731795,45.7652662273902,47.4860320634508
2057,0,BR,Brasil,213793298,27701373,129795745,71113256,56296180,17083001,0.12957082031636,0.607108577369904,0.332626217310142,0.263320602313736,0.079904286803228,-0.377334305503341,82.3243181059357,25.6864689350061,1.46371982210663,24.0926193014115,61.84908611179,85.9417054132015,256.713831476873,45.9952121464537,47.7615054689543
2058,0,BR,Brasil,212934075,27392997,128598484,71792720,56942594,17582138,0.128645436386825,0.603935673517731,0.337159376675621,0.267418890095444,0.0825708050719454,-0.401894263308478,82.4586484774281,25.7585746325302,1.46589560458155,24.0821032335254,63.1153902019403,87.1974934354657,262.084210792999,46.2202499388602,48.0275197298535
2059,0,BR,Brasil,212025649,27080473,127380577,72439658,57564599,18114185,0.12772262755814,0.600779092533281,0.341655164559831,0.271498279908578,0.0854339325710542,-0.426623122673064,82.5908342800889,25.8294133038444,1.46813536677373,24.0703509315872,64.387648968471,88.4579999000582,267.497757517012,46.4404601115028,48.2957761158887
2060,0,BR,Brasil,211069036,26764647,126142315,73032189,58162074,18664777,0.12680517951482,0.597635339557812,0.346010908961559,0.275559480927368,0.0884297259025715,-0.451177961021121,82.7208909909906,25.8990192283876,1.47043043190104,24.0533098114354,65.6338141961784,89.6871240076138,272.868119650523,46.6556284361862,48.5651987186685
2061,0,BR,Brasil,210066029,26447788,124885198,73541875,58733043,19212830,0.125902260950532,0.594504492680252,0.350089328341614,0.279593246369217,0.09146090917918,-0.475203288463399,82.8489030977695,25.9674013519934,1.47278365277046,24.0267633835223,66.8098681600735,90.8366315435958,278.064369693224,46.865267410753,48.8339166358721
2062,0,BR,Brasil,209018787,26132079,123612099,73971580,59274609,19741512,0.125022632534941,0.591392289536155,0.353899192803181,0.283585077928904,0.0944485052436937,-0.498529916991008,82.9748504025069,26.0345897778374,1.47518119821577,23.993066417734,67.9167176849849,91.9097841027189,283.068101852899,47.0688072216207,49.0985162661959
2063,0,BR,Brasil,207928784,25818785,122321645,74330256,59788354,20246769,0.124171288377274,0.58828625189286,0.357479395445317,0.287542459729866,0.0973735747908765,-0.52148565956418,83.0987470096488,26.1006351791635,1.47761513389302,23.9551369128798,68.9649593987249,92.9200963116047,287.892152942131,47.265828712777,49.3677066199214
2064,0,BR,Brasil,206797115,25509014,121016520,74629781,60271581,20728302,0.123352852383845,0.585194430783041,0.360884052952093,0.291452716833114,0.100234967011024,-0.544257980174601,83.2206351436617,26.1655472534195,1.48009264319161,23.9165720967666,69.9708949100267,93.8874670067933,292.562389906564,47.4560787997453,49.6429073805136
2065,0,BR,Brasil,205625259,25204406,119717570,74878965,60703283,21176878,0.122574464453319,0.582212373043139,0.364152562599325,0.295213162503542,0.102987726814243,-0.56666941412602,83.3405063072604,26.2293158751846,1.48260776281623,23.8809504715322,70.9471532288678,94.8281037004,297.086806965417,47.6392070781538,49.9214668872512
2066,0,BR,Brasil,204415091,24906613,118452256,75087501,61056222,21581742,0.121843318309606,0.579469233022527,0.367328559905589,0.298687448667868,0.105578027015628,-0.588530808853593,83.4583725750924,26.2920726479501,1.48515623485603,23.8521164190984,71.908445177639,95.7605615967374,301.476162174279,47.814760109859,50.1840823942686
2067,0,BR,Brasil,203168549,24616757,117217993,75204572,61333799,21936242,0.121164211297291,0.576949501175007,0.370158532755973,0.301886287527702,0.107970658391619,-0.609809184782739,83.5742329623147,26.3537058893028,1.4877331169927,23.8194670354945,72.7688388715246,96.5883059070191,305.501541084392,47.9823373843163,50.4322263429841
2068,0,BR,Brasil,201887385,24336140,116005914,75277542,61545331,22235218,0.120543143396503,0.574607046398664,0.372868973462606,0.304849810204833,0.110136737865023,-0.630591696552407,83.688137429185,26.4142428775652,1.49033500269275,23.7951098729651,73.6040055184078,97.3991153913729,309.324083441335,48.1415969303877,50.6786256346592
2069,0,BR,Brasil,200573375,24066316,114803980,75315921,61703079,22482172,0.119987590576267,0.572378961065994,0.375503084594354,0.307633448357739,0.112089513376339,-0.650862856042245,83.8001774751942,26.4737423485413,1.49295999556136,23.7830273239935,74.4293645556195,98.212391879613,312.951600070406,48.2923266360752,50.9281893136008
2070,0,BR,Brasil,199228708,23808343,113603532,75292150,61816833,22689672,0.119502571888385,0.570216677809305,0.377918176330291,0.310280750302311,0.113887562830554,-0.670411513990832,83.9104277970562,26.5322793289245,1.49560525013469,23.7778562216454,75.1957377847992,98.9735940064446,316.242713741145,48.4345007045872,51.1686854683298
2000,1,NO,Norte,13340960,5027955,7791525,766846,521480,111595,0.376881049039949,0.584030309662873,0.0574805711133232,0.039088641297178,0.0083648403113419,,70.0164799236414,19.8470007073443,3.15033327745023,66.6293275824164,10.1620705315115,76.7913981139279,15.2516480358317,24.0776673492762,20.4425967336112
2001,1,NO,Norte,13637976,5063835,8037139,790473,537002,113880,0.371303997015393,0.589320512075985,0.0579611666716527,0.0393754909086216,0.0083502126708538,2.22634652978497,70.259598312072,19.9632128713553,2.98137870562611,65.057181267238,10.1555333552253,75.2127146224633,15.6101650231495,24.2821912870356,20.7492594898176
2002,1,NO,Norte,13930752,5095145,8281917,815367,553690,116137,0.365748022791591,0.59450609701472,0.0585300061331937,0.0397458801936895,0.008336735877575,2.1467701658956,70.6111583516867,20.0648405696875,2.81669394430525,63.5285851794959,10.1663665925209,73.6949517720168,16.0028222945569,24.5030534604306,21.0713077191805
2003,1,NO,Norte,14220524,5123417,8525520,841722,571587,118475,0.36028327788765,0.599522211699091,0.059190645858057,0.040194510413259,0.0083312682429986,2.08008871308598,71.0199317534333,20.2515922141626,2.759922367794,62.0615149989976,10.1960356785298,72.2575506775275,16.4289184347087,24.7383114715041,21.4085403000246
2004,1,NO,Norte,14508485,5149109,8768781,869766,590595,121012,0.354903285904765,0.604389844976922,0.0599487816956767,0.0407068691183125,0.0083407743813361,2.0249675750345,71.4709424538198,20.4148989596484,2.61760668324829,60.6518909584775,10.2450642609024,70.8969552193799,16.8915826019608,24.9860413406362,21.7544086484339
2005,1,NO,Norte,14795552,5171470,9013325,899904,610757,123810,0.349528696191937,0.609191532698476,0.0608226039826023,0.0412797711095875,0.0083680554804579,1.97861458312154,72.1029547250192,20.6936883575067,2.60898862604702,59.277447113069,10.315057762462,69.592504875531,17.4013191607029,25.2448047899801,22.109447542923
2006,1,NO,Norte,15083626,5189945,9261264,932479,632417,127008,0.344078075125968,0.613994539509267,0.0618206126298809,0.0419273853647657,0.008420256508614,1.94703110772751,72.6615650012693,21.0049527144836,2.55118150608019,57.9157238058019,10.4057357483963,68.3214595541982,17.9670304791284,25.5120750143235,22.4733620324169
2007,1,NO,Norte,15367681,5198689,9513362,967494,655630,130596,0.338287149505511,0.619049939935635,0.0629564083221144,0.042662910558854,0.0084980941496638,1.88320102871815,73.0560398426072,21.1371359069671,2.45067615361372,56.4982897349975,10.5145270911323,67.0128168261298,18.6103458006432,25.7935976807431,22.8473333999594
2008,1,NO,Norte,15647620,5199806,9767725,1004936,680089,134471,0.332306510510864,0.624230713680419,0.0642229297490609,0.0434627758087172,0.0085937030679426,1.82160860835152,73.266514329121,21.2188160252204,2.42730692451258,55.0659025775828,10.6422639369057,65.7081665144885,19.3264133315743,26.0831252292681,23.2283540253465
2009,1,NO,Norte,15919181,5192738,10020702,1045161,705741,138615,0.326193790999675,0.629473463490364,0.0656541941447867,0.0443327455099606,0.0087074203126404,1.73547798323324,73.3747602191161,21.3074847998581,2.32593505216926,53.6368840407706,10.7956880090881,64.4325720498587,20.1273586304566,26.3812025882487,23.6139058471957
2010,1,NO,Norte,16158154,5168774,10256116,1089024,733264,143300,0.319886417718262,0.634733150828987,0.0673977980405435,0.0453804314527513,0.0088685873398656,1.50116391037955,73.8865802072444,21.6563627823736,2.21626151190666,52.2079610066547,10.9998468741932,63.2078078808479,21.0692903191356,26.7034662499194,24.0134484524296
2011,1,NO,Norte,16374290,5136191,10475432,1136668,762667,148575,0.313674119610682,0.639748776893532,0.0694178495678286,0.0465771034957852,0.0090736758662513,1.33762804835256,74.0806122618806,21.7241323916194,2.23212014806944,50.846172190851,11.2525443177308,62.0987165085818,22.130563290968,27.0353167068618,24.4135100683301
2012,1,NO,Norte,16591669,5100122,10697924,1187647,793623,154244,0.30739053436999,0.644776845536154,0.0715809241372884,0.0478326200938555,0.0092964728262117,1.32756290501757,74.3651626161663,21.8480600285709,2.16040745546324,49.497005988024,11.5261891128602,61.0231951008841,23.2866390254978,27.3680098126355,24.8113714650362
